Prison Name,Latitude,Longitude,Size
Caryville Work Camp,30.767682,-85.807628,154
Casa Grande Transitional Housing,36.085408,-115.192197,174
Cascade County Regional Prison,47.465808,-111.377781,243
Casey County Jail,37.320971,-84.947972,311
Casper Re-Entry Center (CRC),42.892191,-106.491677,254
Cass County Jail,33.020321,-94.37169,82
Cass County Jail,38.647389,-94.369191,89
Cass County Jail,40.755003,-86.36695,177
Cass County Jail,41.011681,-95.883214,90
Cass County Jail,41.91756,-86.019072,114
Cass County Jail,46.869425,-96.833383,168
Cass County Jail,47.101367,-94.579115,15
Cassia County Jail,42.534839,-113.79128,134
Castro County Jail,34.550371,-102.311761,14
Caswell Correctional Center,36.418897,-79.343352,479
Caswell County Jail,36.406456,-79.335193,22
Catahoula Correctional Center,31.771216,-91.851267,778
Catahoula Parish Jail,31.771576,-91.821689,15
Catalyst Behavioral Services- Cameo,35.475679,-97.520258,40
Catalyst Behavioral Services- Ivanhoe,35.476725,-97.520236,97
Catawba Correctional Center,35.615746,-81.209628,192
Catawba County Detention Facility,35.659911,-81.23433,214
Catawba Pre-Release Center,34.894371,-81.092236,188
Catoosa County Jail,34.92911,-85.133994,181
Catron County Jail,33.691036,-108.767855,3
Cattaraugus County Jail,42.252906,-78.801405,111
